x,y,z,t,value,mass,volume,count,label,group
90.125332895,114.419821047,82.6960851084,0,1,212905,212905.0,212905,CSF,CSF
89.5292974454,111.57722603,83.8870234843,0,2,465672,465672.0,465672,Gray matter,Gray matter
89.544027985,111.643137661,86.2924904712,0,3,414793,414793.0,414793,White matter,White matter
89.5730862994,119.554217455,70.5390784983,0,4,41020,41020.0,41020,Deep brain,Deep brain
89.1192537952,95.7627218302,41.1336326705,0,5,18708,18708.0,18708,Brain-Stem,Brain-Stem
89.2420534601,69.0215053763,41.1850406175,0,6,148335,148335.0,148335,Cerebellum,Cerebellum
0.0,0.0,0.0,0,-1,0,1301433.0,0,ICV, ICV
0.0,0.0,0.0,0,-1,0,83.6407252621,0,BPF, BPF
99.0723547303,108.249239635,75.9021930527,0,10,6247,6247.0,6247,thalamusproper_L,Subcortical-Left
101.074124914,134.757378174,78.238160604,0,11,2914,2914.0,2914,caudate_L,Subcortical-Left
111.465685258,128.599004769,69.0922662243,0,12,4823,4823.0,4823,putamen_L,Subcortical-Left
108.578352181,123.949919225,67.9806138934,0,13,619,619.0,619,pallidum_L,Subcortical-Left
90.5250598245,96.9867721351,40.312283967,0,16,15044,15044.0,15044,brainstem,Brainstem
113.605966851,105.594475138,58.0053038674,0,17,4525,4525.0,4525,hyppocampus_L,Subcortical-Left
109.488021903,121.922655715,52.4038329911,0,18,1461,1461.0,1461,amygdala_L,Subcortical-Left
96.0821484992,134.66192733,62.868878357,0,26,633,633.0,633,accumbensarea_L,Subcortical-Left
97.5741740445,110.611315051,60.2936730728,0,28,4631,4631.0,4631,ventral_DC_L,Subcortical-Left
80.889975145,108.83927092,76.3196354598,0,49,6035,6035.0,6035,thalamusproper_R,Subcortical-Right
76.6334130509,134.977109669,79.4680560301,0,50,2927,2927.0,2927,caudate_R,Subcortical-Right
66.8600960535,128.399874713,69.8644811025,0,51,4789,4789.0,4789,putamen_R,Subcortical-Right
70.4537953795,124.372937294,69.5610561056,0,52,606,606.0,606,pallidum_R,Subcortical-Right
65.6056277979,105.381155404,59.3265828182,0,53,4691,4691.0,4691,hyppocampus_R,Subcortical-Right
70.1946517413,122.744402985,53.5814676617,0,54,1608,1608.0,1608,amygdala_R,Subcortical-Right
82.3316062176,135.454231434,64.1692573402,0,58,579,579.0,579,accumbensarea_R,Subcortical-Right
81.7270582685,109.936305732,60.3894786506,0,60,4239,4239.0,4239,ventral_DC_R,Subcortical-Right
0.0,0.0,0.0,0,1001,0,0.0,0,bankssts_L,Left
93.7677621283,144.874491393,96.0165884194,0,1002,3195,3195.0,3195,caudalanteriorcingulate_L,Left
123.993534786,139.70864371,109.802108222,0,1003,7115,7115.0,7115,caudalmiddlefrontal_L,Left
95.9313060005,53.4781428184,91.5761607385,0,1005,3683,3683.0,3683,cuneus_L,Left
110.358680715,121.845167201,41.9111314705,0,1006,2183,2183.0,2183,entorhinal_L,Left
